time, loss, val_loss, acc, val_acc
63, 2.409700, 5.450082, 0.369565, 0.401070,
59, 1.860964, 2.147386, 0.404762, 0.433155,
61, 1.398484, 2.289110, 0.436975, 0.449198,
64, 1.242767, 1.692494, 0.474790, 0.411765,
63, 1.230104, 1.291700, 0.473389, 0.433155,
64, 1.152095, 1.159465, 0.487395, 0.529412,
66, 1.044901, 1.446967, 0.508403, 0.481283,
64, 1.048280, 1.490755, 0.533613, 0.470588,
65, 1.034365, 1.001407, 0.571429, 0.593583,
64, 1.089657, 1.104320, 0.558824, 0.524064,
68, 1.050692, 1.344572, 0.542017, 0.513369,
70, 1.065249, 1.922065, 0.551821, 0.475936,
67, 1.038650, 1.860588, 0.553221, 0.486631,
69, 0.956102, 1.078675, 0.593838, 0.534759,
64, 0.939265, 1.798639, 0.595238, 0.481283,
63, 0.859919, 1.651120, 0.614846, 0.497326,
67, 0.890141, 1.881122, 0.617647, 0.385027,
67, 0.950492, 1.246416, 0.591036, 0.529412,
64, 0.897137, 1.132377, 0.613445, 0.556150,
64, 0.807687, 1.083813, 0.665266, 0.614973,
64, 0.841906, 1.270278, 0.663866, 0.534759,
64, 0.747124, 1.241193, 0.665266, 0.524064,
64, 0.747753, 1.088861, 0.672269, 0.556150,
64, 0.686879, 1.074757, 0.705882, 0.572193,
62, 0.721691, 1.906177, 0.698370, 0.417112,
63, 0.757406, 1.520668, 0.682073, 0.443850,
62, 0.718460, 2.370405, 0.691877, 0.406417,
67, 0.724373, 2.478582, 0.705882, 0.395722,
65, 0.791675, 2.095173, 0.658263, 0.427807,
64, 0.774593, 1.552931, 0.669468, 0.524064,
64, 0.741489, 1.420912, 0.661064, 0.534759,
63, 0.670887, 1.212603, 0.721289, 0.582888,
66, 0.617442, 1.431052, 0.731092, 0.588235,
64, 0.645617, 1.846055, 0.717087, 0.486631,
68, 0.585769, 1.115458, 0.761905, 0.550802,
64, 0.532154, 1.227185, 0.777311, 0.577540,
66, 0.538512, 1.309975, 0.781513, 0.540107,
65, 0.523067, 0.727849, 0.778711, 0.705882,
64, 0.539905, 1.008965, 0.780112, 0.604278,
65, 0.508752, 1.439300, 0.778711, 0.582888,
67, 0.540308, 1.895838, 0.754902, 0.540107,
66, 0.497233, 1.311561, 0.808123, 0.577540,
66, 0.502605, 1.263195, 0.785714, 0.572193,
66, 0.456344, 1.126111, 0.820728, 0.647059,
65, 0.435618, 1.185115, 0.827731, 0.556150,
62, 0.456266, 0.686867, 0.813725, 0.711230,
64, 0.492813, 1.373554, 0.801120, 0.556150,
64, 0.437859, 1.206734, 0.813725, 0.609626,
65, 0.429414, 1.103750, 0.826087, 0.647059,
69, 0.460356, 1.060913, 0.820728, 0.631016,
67, 0.395174, 1.912680, 0.831933, 0.497326,
67, 0.467409, 0.887848, 0.816527, 0.641711,
65, 0.364400, 0.804920, 0.857143, 0.732620,
64, 0.440445, 1.018154, 0.838936, 0.652406,
64, 0.364202, 1.045918, 0.855742, 0.657754,
65, 0.370593, 0.787125, 0.847339, 0.711230,
65, 0.419236, 1.184100, 0.822129, 0.620321,
60, 0.504580, 1.389438, 0.784314, 0.625668,
66, 0.406966, 0.834955, 0.830532, 0.716578,
65, 0.395384, 0.954952, 0.841737, 0.705882,
65, 0.421253, 0.828098, 0.841737, 0.711230,
65, 0.405282, 1.014416, 0.844538, 0.663102,
67, 0.386250, 0.843149, 0.844538, 0.673797,
66, 0.487380, 1.576805, 0.806723, 0.609626,
64, 0.452488, 1.206743, 0.837535, 0.577540,
62, 0.444492, 2.526457, 0.820728, 0.545455,
67, 0.408434, 1.434000, 0.837535, 0.668449,
66, 0.371209, 1.662166, 0.872549, 0.588235,
65, 0.279944, 0.889788, 0.894958, 0.721925,
66, 0.331918, 1.369375, 0.864146, 0.705882,
64, 0.327273, 1.470777, 0.875350, 0.663102,
65, 0.321634, 1.297381, 0.864146, 0.657754,
67, 0.354529, 0.762341, 0.875000, 0.737968,
64, 0.308708, 1.223206, 0.886555, 0.657754,
66, 0.325532, 0.679643, 0.858543, 0.748663,
71, 0.398911, 0.842347, 0.850140, 0.732620,
73, 0.413335, 1.252501, 0.830532, 0.636364,
69, 0.334454, 0.838233, 0.866947, 0.748663,
68, 0.315138, 1.407454, 0.879552, 0.631016,
71, 0.343994, 0.834148, 0.873950, 0.716578,
64, 0.328319, 0.973011, 0.883754, 0.673797,
63, 0.355598, 0.762001, 0.862745, 0.743316,
66, 0.308246, 0.818335, 0.873950, 0.673797,
62, 0.342617, 0.684528, 0.876751, 0.727273,
64, 0.376153, 0.577398, 0.858543, 0.775401,
65, 0.342415, 1.179602, 0.879552, 0.614973,
64, 0.344946, 0.788249, 0.865546, 0.727273,
66, 0.318073, 0.879461, 0.892157, 0.711230,
66, 0.371570, 1.505833, 0.868347, 0.529412,
63, 0.305445, 1.897448, 0.864146, 0.529412,
65, 0.322807, 1.220035, 0.869748, 0.663102,
60, 0.298756, 1.251982, 0.896359, 0.614973,
61, 0.253634, 0.788556, 0.907563, 0.732620,
64, 0.242971, 0.783331, 0.890756, 0.748663,
58, 0.217767, 0.866942, 0.901961, 0.700535,
63, 0.227646, 1.062950, 0.913165, 0.695187,
67, 0.223605, 1.048589, 0.913043, 0.684492,
64, 0.267073, 1.093101, 0.901961, 0.695187,
65, 0.265026, 0.778107, 0.899160, 0.754011,
63, 0.291705, 0.983765, 0.890756, 0.727273,
