time, loss, val_loss, acc, val_acc
150, 2.309994, 2.930458, 0.349185, 0.401070,
148, 1.430628, 2.294405, 0.424370, 0.411765,
154, 1.377834, 1.937657, 0.442577, 0.326203,
155, 1.361565, 2.691721, 0.455182, 0.427807,
196, 1.437568, 3.034907, 0.431373, 0.449198,
210, 1.535065, 2.774479, 0.399160, 0.433155,
214, 1.360842, 1.627714, 0.463585, 0.465241,
212, 1.305575, 1.295829, 0.449580, 0.508021,
214, 1.248541, 1.514694, 0.483193, 0.406417,
214, 1.114454, 1.333327, 0.546218, 0.508021,
215, 1.045089, 1.079339, 0.563025, 0.534759,
211, 1.047922, 1.336304, 0.560224, 0.481283,
186, 1.028861, 1.229476, 0.560224, 0.486631,
153, 0.982746, 1.271376, 0.584034, 0.513369,
149, 1.028494, 1.231020, 0.568627, 0.524064,
153, 0.892868, 1.315773, 0.628852, 0.518717,
154, 0.913411, 1.010885, 0.634454, 0.593583,
157, 0.907589, 1.027773, 0.599440, 0.604278,
154, 0.760458, 1.422102, 0.672269, 0.502674,
153, 0.801063, 1.780278, 0.641457, 0.486631,
150, 0.828755, 1.376829, 0.670868, 0.518717,
144, 0.841992, 1.667298, 0.658263, 0.459893,
150, 0.804472, 0.893935, 0.679272, 0.657754,
148, 0.736738, 1.119364, 0.673669, 0.604278,
151, 0.690629, 1.001409, 0.720109, 0.588235,
147, 0.781218, 1.148610, 0.693277, 0.593583,
145, 0.735469, 1.076861, 0.690476, 0.577540,
148, 0.682984, 1.505575, 0.711485, 0.545455,
148, 0.709777, 1.005355, 0.710084, 0.625668,
151, 0.626604, 1.171459, 0.742297, 0.561497,
150, 0.623902, 0.912958, 0.736695, 0.652406,
148, 0.641384, 1.180946, 0.735294, 0.572193,
152, 0.587019, 1.100122, 0.767507, 0.620321,
156, 0.611115, 0.927934, 0.764706, 0.620321,
153, 0.651342, 1.763269, 0.731092, 0.540107,
152, 0.640555, 1.460376, 0.728291, 0.566845,
150, 0.591997, 0.995005, 0.739496, 0.657754,
145, 0.566374, 0.928222, 0.759104, 0.663102,
151, 0.562854, 1.429640, 0.764706, 0.556150,
146, 0.544645, 1.095180, 0.771709, 0.705882,
149, 0.557737, 0.942122, 0.780112, 0.689840,
153, 0.639818, 2.905642, 0.749300, 0.438503,
149, 0.748845, 2.115720, 0.687675, 0.529412,
154, 0.667329, 1.661278, 0.729692, 0.524064,
149, 0.581602, 2.070904, 0.750700, 0.465241,
152, 0.498019, 1.012711, 0.792717, 0.668449,
152, 0.502396, 1.109034, 0.792717, 0.673797,
148, 0.497548, 1.006899, 0.805322, 0.657754,
153, 0.531902, 1.031213, 0.771739, 0.679144,
153, 0.448630, 0.708951, 0.816527, 0.705882,
149, 0.452478, 0.872531, 0.813725, 0.732620,
156, 0.418633, 1.547716, 0.827731, 0.566845,
157, 0.385755, 0.984409, 0.851541, 0.668449,
163, 0.471751, 0.954234, 0.817927, 0.689840,
162, 0.375098, 0.991618, 0.840336, 0.689840,
158, 0.472023, 1.116325, 0.806723, 0.657754,
158, 0.414472, 1.261289, 0.826331, 0.620321,
167, 0.511700, 1.148177, 0.801120, 0.684492,
168, 0.537656, 1.111578, 0.761905, 0.663102,
173, 0.394554, 1.314138, 0.848739, 0.641711,
156, 0.410942, 1.484109, 0.829132, 0.647059,
161, 0.351085, 1.387956, 0.848739, 0.647059,
154, 0.414831, 2.097017, 0.823529, 0.518717,
152, 0.467757, 1.075023, 0.799720, 0.695187,
164, 0.428366, 1.824697, 0.829132, 0.625668,
166, 0.384625, 1.823618, 0.847339, 0.614973,
158, 0.415075, 0.826987, 0.833333, 0.727273,
155, 0.327202, 1.010043, 0.883754, 0.737968,
152, 0.300889, 0.794453, 0.878151, 0.764706,
149, 0.338731, 0.910369, 0.865546, 0.705882,
146, 0.274595, 1.027357, 0.893557, 0.705882,
154, 0.316617, 1.612904, 0.871148, 0.641711,
152, 0.295946, 3.227125, 0.898098, 0.475936,
170, 0.397109, 0.961234, 0.833333, 0.711230,
151, 0.383176, 1.201522, 0.845938, 0.689840,
157, 0.362587, 0.942150, 0.848739, 0.700535,
153, 0.323978, 0.925571, 0.876751, 0.743316,
152, 0.353715, 1.384063, 0.861345, 0.684492,
156, 0.292571, 0.934722, 0.886555, 0.705882,
146, 0.254526, 1.118239, 0.911765, 0.668449,
152, 0.292350, 1.025569, 0.883754, 0.679144,
169, 0.311456, 0.792087, 0.886555, 0.754011,
155, 0.313298, 1.098002, 0.882353, 0.689840,
169, 0.254052, 1.038915, 0.907563, 0.743316,
169, 0.242261, 0.695431, 0.904762, 0.764706,
168, 0.262771, 1.529946, 0.910364, 0.620321,
170, 0.477151, 3.097952, 0.820728, 0.513369,
177, 0.391061, 1.956066, 0.845938, 0.577540,
172, 0.355118, 2.187735, 0.854342, 0.561497,
198, 0.307572, 1.654015, 0.882353, 0.604278,
178, 0.345346, 1.766699, 0.852941, 0.572193,
181, 0.335600, 1.990408, 0.868347, 0.604278,
183, 0.329459, 0.976074, 0.880952, 0.695187,
188, 0.307074, 1.108479, 0.871148, 0.663102,
182, 0.302350, 0.879398, 0.871148, 0.737968,
188, 0.325507, 0.891546, 0.875350, 0.705882,
183, 0.474017, 2.079500, 0.819293, 0.497326,
170, 0.377501, 1.606081, 0.852941, 0.588235,
168, 0.346441, 1.240205, 0.866947, 0.561497,
171, 0.315068, 1.123848, 0.875350, 0.695187,
