time, loss, val_loss, acc, val_acc
285, 1.958030, 2.392712, 0.381410, 0.443038,
293, 1.348217, 2.258854, 0.437296, 0.462025,
287, 1.475377, 2.511078, 0.442182, 0.503165,
284, 1.341617, 2.109557, 0.468241, 0.484177,
280, 1.269802, 1.281060, 0.488599, 0.553797,
278, 1.207292, 1.315156, 0.542345, 0.588608,
270, 1.165126, 1.492242, 0.515472, 0.537975,
266, 1.033778, 1.059110, 0.581433, 0.648734,
260, 1.105726, 1.278794, 0.551303, 0.537975,
266, 0.982943, 1.014146, 0.572476, 0.594937,
260, 0.922775, 1.180167, 0.628664, 0.537975,
264, 0.988831, 1.129890, 0.590391, 0.553797,
259, 0.926856, 1.027064, 0.618078, 0.553797,
270, 0.881563, 1.017070, 0.646580, 0.607595,
263, 0.908756, 0.900616, 0.644951, 0.639241,
253, 0.784006, 1.350607, 0.668567, 0.531646,
261, 0.783819, 1.172856, 0.686482, 0.623418,
259, 0.846221, 1.347783, 0.657166, 0.541139,
273, 0.765322, 1.238301, 0.692997, 0.617089,
261, 0.704452, 1.111376, 0.714984, 0.655063,
258, 0.680108, 1.115161, 0.699511, 0.604430,
255, 0.696757, 1.542704, 0.732085, 0.591772,
254, 0.649231, 0.898216, 0.738599, 0.674051,
262, 0.559577, 0.761887, 0.780130, 0.721519,
255, 0.584407, 1.403563, 0.761401, 0.607595,
255, 0.640097, 0.566994, 0.729642, 0.778481,
257, 0.573548, 1.083431, 0.771173, 0.642405,
263, 0.550146, 1.395515, 0.785016, 0.629747,
262, 0.491802, 0.590611, 0.802932, 0.781646,
262, 0.506156, 0.841489, 0.802117, 0.661392,
253, 0.529197, 0.545190, 0.795603, 0.816456,
258, 0.490383, 0.632680, 0.803746, 0.778481,
251, 0.452366, 1.928163, 0.827362, 0.661392,
254, 0.454896, 0.578419, 0.824104, 0.781646,
252, 0.438517, 0.780696, 0.821661, 0.768987,
260, 0.417913, 0.557244, 0.837134, 0.829114,
263, 0.407198, 0.497507, 0.837948, 0.816456,
256, 0.428524, 1.199955, 0.824919, 0.664557,
259, 0.397193, 0.827046, 0.841205, 0.721519,
260, 0.355128, 0.475089, 0.864007, 0.860759,
259, 0.376719, 0.559254, 0.854968, 0.797468,
259, 0.347089, 0.640582, 0.859121, 0.784810,
251, 0.357721, 1.186827, 0.856678, 0.705696,
255, 0.384788, 1.735473, 0.852606, 0.642405,
252, 0.331555, 0.600981, 0.878664, 0.825949,
252, 0.349539, 0.540754, 0.872964, 0.816456,
258, 0.322153, 0.547082, 0.875407, 0.829114,
256, 0.275971, 0.924117, 0.883550, 0.727848,
257, 0.309646, 0.590034, 0.885179, 0.787975,
259, 0.279340, 0.445678, 0.890065, 0.860759,
258, 0.355838, 1.194478, 0.857492, 0.731013,
258, 0.270464, 0.615845, 0.886808, 0.787975,
263, 0.300135, 0.659308, 0.893322, 0.813291,
254, 0.291232, 0.766323, 0.891694, 0.743671,
262, 0.313044, 0.563579, 0.881107, 0.822785,
257, 0.293326, 0.643253, 0.888436, 0.787975,
262, 0.275037, 0.573641, 0.890879, 0.791139,
257, 0.261387, 0.768374, 0.894951, 0.759494,
263, 0.272088, 0.710080, 0.897394, 0.762658,
257, 0.285264, 1.103672, 0.891694, 0.731013,
262, 0.256996, 0.637656, 0.911238, 0.775316,
257, 0.286398, 0.589788, 0.883550, 0.768987,
254, 0.247665, 0.490992, 0.902280, 0.844937,
260, 0.201790, 0.699351, 0.927524, 0.819620,
263, 0.191978, 0.494210, 0.934039, 0.863924,
262, 0.215312, 0.515309, 0.921824, 0.838608,
252, 0.189244, 0.441682, 0.922638, 0.854430,
260, 0.202995, 0.907827, 0.913681, 0.724684,
256, 0.210482, 0.910291, 0.922638, 0.759494,
258, 0.212727, 0.584038, 0.921010, 0.816456,
259, 0.192752, 0.546600, 0.927524, 0.857595,
260, 0.158519, 1.513698, 0.937296, 0.655063,
256, 0.270203, 2.195741, 0.894137, 0.462025,
253, 0.315899, 1.259453, 0.885993, 0.636076,
255, 0.233908, 0.499853, 0.916124, 0.876582,
259, 0.182537, 0.764342, 0.934853, 0.803797,
256, 0.167360, 0.531083, 0.941368, 0.829114,
260, 0.119247, 0.284785, 0.959283, 0.914557,
254, 0.145608, 0.961435, 0.943811, 0.753165,
250, 0.198559, 0.501291, 0.921824, 0.829114,
258, 0.212046, 0.936376, 0.924679, 0.740506,
255, 0.221742, 1.541002, 0.914495, 0.648734,
258, 0.181328, 0.423479, 0.935668, 0.882911,
260, 0.156054, 0.337908, 0.936482, 0.886076,
258, 0.176882, 0.314392, 0.937296, 0.905063,
259, 0.160821, 0.559353, 0.940554, 0.848101,
260, 0.133316, 0.318088, 0.950326, 0.889241,
253, 0.139341, 0.461565, 0.951954, 0.889241,
258, 0.136845, 0.474486, 0.947068, 0.876582,
256, 0.156889, 0.594354, 0.945440, 0.819620,
257, 0.184706, 0.363291, 0.939739, 0.889241,
254, 0.150320, 1.247312, 0.945440, 0.651899,
254, 0.207307, 0.463568, 0.924267, 0.860759,
257, 0.174409, 0.594470, 0.934853, 0.829114,
256, 0.151466, 0.882607, 0.945440, 0.727848,
263, 0.170986, 0.405095, 0.933225, 0.892405,
254, 0.125523, 0.367665, 0.958469, 0.886076,
263, 0.137761, 0.541795, 0.949511, 0.854430,
257, 0.135516, 0.432280, 0.943811, 0.863924,
250, 0.146931, 0.318927, 0.950326, 0.889241,
